,precipitation,floods
2025-01-01,0.5,0.0
2025-01-02,0.4,0.0
2025-01-03,3.0,3.2699999999999996
2025-01-04,0.3,1.3199999999999998
2025-01-05,0.3,1.29
2025-01-06,0.0,0.18
2025-01-07,9.9,9.99
2025-01-08,1.0,3.9699999999999998
2025-01-09,0.3,3.5700000000000003
2025-01-10,0.3,0.69
2025-01-11,1.0,1.18
2025-01-12,8.4,8.79
2025-01-13,41.9,44.72
2025-01-14,1.0,16.09
2025-01-15,3.0,15.87
2025-01-16,15.0,16.2
2025-01-17,15.0,20.4
2025-01-18,0.8,9.8
2025-01-19,0.3,5.04
2025-01-20,0.3,0.63
2025-01-21,11.9,12.08
2025-01-22,0.3,3.96
2025-01-23,0.0,3.66
2025-01-24,14.0,14.09
2025-01-25,23.9,28.099999999999994
2025-01-26,0.8,12.169999999999998
2025-01-27,5.7,13.11
2025-01-28,11.3,13.25
2025-01-29,3.9,9.0
2025-01-30,0.0,4.5600000000000005
2025-01-31,0.0,1.17
2025-02-01,0.0,0.0
2025-02-02,0.0,0.0
2025-02-03,0.0,0.0
2025-02-04,0.0,0.0
2025-02-05,0.3,0.3
2025-02-06,12.5,12.59
2025-02-07,0.3,4.140000000000001
2025-02-08,0.5,4.34
2025-02-09,0.0,0.24
2025-02-10,5.4,5.55
2025-02-11,0.1,1.72
2025-02-12,0.0,1.65
2025-02-13,1.9,1.9299999999999997
2025-02-14,0.0,0.57
2025-02-15,0.0,0.57
2025-02-16,0.0,0.0
2025-02-17,0.3,0.3
2025-02-18,6.8,6.89
2025-02-19,3.3,5.43
2025-02-20,0.7,3.7299999999999995
2025-02-21,9.4,10.6
2025-02-22,1.2,4.23
2025-02-23,0.1,3.2800000000000002
2025-02-24,0.0,0.39
2025-02-25,37.1,37.129999999999995
2025-02-26,3.3,14.43
2025-02-27,0.0,12.12
2025-02-28,1.6,2.59
2025-03-01,13.0,13.48
2025-03-02,0.0,4.38
2025-03-03,27.9,31.799999999999997
2025-03-04,0.3,8.67
2025-03-05,0.3,8.76
2025-03-06,0.0,0.18
2025-03-07,1.0,1.0899999999999999
2025-03-08,9.9,10.2
2025-03-09,0.0,3.27
2025-03-10,3.2,6.17
2025-03-11,0.4,1.36
2025-03-12,22.1,23.18
2025-03-13,2.0,8.75
2025-03-14,1.0,8.23
2025-03-15,30.0,30.9
2025-03-16,0.0,9.299999999999999
2025-03-17,62.0,71.0
2025-03-18,16.0,34.599999999999994
2025-03-19,0.0,23.4
2025-03-20,0.0,4.8
2025-03-21,0.5,0.5
2025-03-22,1.0,1.15
2025-03-23,0.0,0.44999999999999996
2025-03-24,1.0,1.2999999999999998
2025-03-25,14.0,14.299999999999999
2025-03-26,0.5,4.999999999999999
2025-03-27,84.1,88.44999999999999
2025-03-28,10.9,36.28
2025-03-29,0.3,28.8
2025-03-30,3.0,6.359999999999999
2025-03-31,0.0,0.9899999999999999
2025-04-01,0.0,0.8999999999999999
2025-04-02,23.9,23.899999999999995
2025-04-03,9.9,17.07
2025-04-04,1.0,11.139999999999999
2025-04-05,9.9,13.17
2025-04-06,7.9,11.17
2025-04-07,1.0,6.34
2025-04-08,0.0,2.67
2025-04-09,10.9,11.2
2025-04-10,15.0,18.27
2025-04-11,0.3,8.07
2025-04-12,0.0,4.59
2025-04-13,0.0,0.09
2025-04-14,4.2,4.2
2025-04-15,23.9,25.159999999999997
2025-04-16,49.0,57.42999999999999
2025-04-17,2.0,23.869999999999994
2025-04-18,1.0,16.3
2025-04-19,0.3,1.2
2025-04-20,147.1,147.48999999999998
2025-04-21,19.1,63.31999999999999
2025-04-22,1.0,50.86
2025-04-23,19.1,25.130000000000003
2025-04-24,18.0,24.03
2025-04-25,1.0,12.129999999999999
2025-04-26,0.0,5.7
2025-04-27,73.9,74.2
2025-04-28,5.1,27.27
2025-04-29,0.5,24.2
2025-04-30,0.0,1.68
2025-05-01,18.0,18.15
2025-05-02,47.0,52.4
2025-05-03,19.1,38.599999999999994
2025-05-04,2.0,21.829999999999995
2025-05-05,1.0,7.33
2025-05-06,14.0,14.899999999999999
2025-05-07,11.9,16.4
2025-05-08,2.0,9.77
2025-05-09,4.1,8.27
2025-05-10,8.9,10.73
2025-05-11,15.0,18.9
2025-05-12,11.9,19.07
2025-05-13,0.5,8.569999999999999
2025-05-14,4.1,7.82
