time,prcp,tavg,flood_flag
2025-04-01,0.7,22.6,0
2025-04-02,1.9,21.1,0
2025-04-03,2.1,20.7,0
2025-04-04,2.2,21.4,0
2025-04-05,9.9,22.2,1
2025-04-06,13.0,21.3,1
2025-04-07,0.0,23.4,0
2025-04-08,0.2,23.8,0
2025-04-09,0.2,22.3,0
2025-04-10,2.0,21.2,0
2025-04-11,1.0,19.8,0
2025-04-12,0.0,22.0,0
2025-04-13,0.0,22.8,0
2025-04-14,14.0,20.1,1
2025-04-15,25.2,17.0,1
2025-04-16,115.0,17.4,1
2025-04-17,6.0,18.0,1
2025-04-18,0.4,18.7,0
2025-04-19,0.0,19.7,0
2025-04-20,1.4,20.5,0
2025-04-21,2.0,19.9,0
2025-04-22,4.7,19.4,1
2025-04-23,22.8,18.2,1
2025-04-24,0.7,19.1,0
2025-04-25,1.0,19.2,0
2025-04-26,0.0,18.8,0
2025-04-27,0.0,20.6,0
2025-04-28,0.0,21.2,0
2025-04-29,0.0,22.2,0
2025-04-30,0.2,21.3,0
2025-05-01,4.6,19.3,1
2025-05-02,5.0,17.3,1
2025-05-03,0.0,16.8,0
2025-05-04,0.0,16.3,0
2025-05-05,0.0,18.9,0
2025-05-06,0.0,20.5,0
2025-05-07,0.0,20.4,0
2025-05-08,0.0,22.6,0
2025-05-09,0.0,19.8,0
2025-05-10,0.0,21.5,0
2025-05-11,0.0,18.9,0
2025-05-12,0.0,16.8,0
2025-05-13,0.0,17.1,0
2025-05-14,0.0,19.6,0
2025-05-15,0.0,20.1,0
2025-05-16,0.0,19.9,0
2025-05-17,0.0,20.5,0
2025-05-18,0.0,20.4,0
2025-05-19,0.0,20.6,0
2025-05-20,0.0,21.2,0
2025-05-21,10.1,16.6,1
2025-05-22,0.0,18.3,0
2025-05-23,0.0,16.3,0
2025-05-24,0.0,16.2,0
2025-05-25,0.0,17.5,0
2025-05-26,0.0,18.3,0
2025-05-27,0.4,17.7,0
2025-05-28,0.0,19.7,0
2025-05-29,0.0,20.6,0
2025-05-30,0.0,18.4,0
2025-05-31,0.0,15.3,0
2025-06-01,0.0,18.6,0
2025-06-02,0.0,17.5,0
2025-06-03,0.0,17.6,0
2025-06-04,0.0,15.8,0
2025-06-05,0.0,16.6,0
2025-06-06,1.5,19.8,0
2025-06-07,0.0,24.4,0
2025-06-08,10.5,18.1,1
2025-06-09,17.5,14.1,1
2025-06-10,27.0,14.8,1
2025-06-11,0.0,15.5,0
2025-06-12,0.0,16.8,0
2025-06-13,0.0,15.6,0
2025-06-14,0.0,16.6,0
2025-06-15,0.0,17.1,0
2025-06-16,0.0,17.8,0
2025-06-17,0.0,17.4,0
2025-06-18,0.0,17.1,0
2025-06-19,0.0,17.2,0
2025-06-20,0.0,15.8,0
2025-06-21,0.0,16.2,0
2025-06-22,0.0,15.4,0
2025-06-23,0.0,16.1,0
2025-06-24,0.0,16.9,0
2025-06-25,0.0,18.3,0
2025-06-26,2.1,19.2,0
2025-06-27,0.0,15.3,0
2025-06-28,0.0,14.6,0
2025-06-29,0.0,15.7,0
2025-06-30,0.0,16.5,0
2025-07-01,0.0,18.7,0
2025-07-02,0.0,16.3,0
2025-07-03,0.0,18.8,0
2025-07-04,1.0,16.7,0
2025-07-05,0.0,14.3,0
2025-07-06,0.0,15.7,0
2025-07-07,0.0,14.8,0
2025-07-08,0.0,14.4,0
2025-07-09,0.0,17.2,0
2025-07-10,0.0,16.5,0
2025-07-11,0.0,20.3,0
2025-07-12,2.1,13.9,0
2025-07-13,0.0,17.2,0
2025-07-14,0.4,17.7,0
2025-07-15,0.5,17.8,0
2025-07-16,0.0,16.1,0
2025-07-17,0.0,19.6,0
2025-07-18,13.4,14.4,1
2025-07-19,5.1,13.1,1
2025-07-20,0.0,17.0,0
2025-07-21,0.0,19.3,0
2025-07-22,6.2,14.8,1
2025-07-23,0.0,15.4,0
2025-07-24,0.0,18.9,0
2025-07-25,0.0,16.7,0
2025-07-26,0.0,15.6,0
2025-07-27,0.7,12.9,0
2025-07-28,0.0,13.7,0
2025-07-29,0.0,16.8,0
2025-07-30,0.0,17.2,0
2025-07-31,0.1,20.1,0
2025-08-01,0.0,14.6,0
2025-08-02,0.0,14.9,0
2025-08-03,0.0,17.3,0
2025-08-04,0.0,19.9,0
2025-08-05,0.0,19.3,0
2025-08-06,1.5,15.7,0
2025-08-07,2.0,16.1,0
2025-08-08,0.0,15.6,0
2025-08-09,0.0,18.1,0
2025-08-10,0.0,18.1,0
2025-08-11,0.0,16.7,0
2025-08-12,0.0,17.6,0
2025-08-13,0.0,19.0,0
2025-08-14,0.0,21.1,0
2025-08-15,0.6,18.4,0
2025-08-16,0.5,19.6,0
2025-08-17,0.0,19.2,0
2025-08-18,0.0,20.0,0
2025-08-19,0.0,19.5,0
2025-08-20,0.0,19.0,0
2025-08-21,0.3,18.1,0
2025-08-22,0.1,19.9,0
2025-08-23,0.0,15.6,0
2025-08-24,0.2,18.8,0
2025-08-25,0.0,18.1,0
2025-08-26,0.0,17.4,0
2025-08-27,0.0,18.9,0
2025-08-28,0.0,19.3,0
2025-08-29,0.0,20.4,0
2025-08-30,1.4,19.6,0
2025-08-31,0.0,20.4,0
2025-09-01,0.8,18.8,0
2025-09-02,0.0,19.3,0
2025-09-03,0.0,19.6,0
2025-09-04,0.0,18.2,0
2025-09-05,0.2,20.2,0
2025-09-06,2.7,18.1,0
2025-09-07,0.0,19.6,0
2025-09-08,1.1,20.2,0
2025-09-09,0.6,20.8,0
2025-09-10,0.0,23.1,0
2025-09-11,0.0,22.6,0
2025-09-12,0.1,19.7,0
2025-09-13,1.0,19.5,0
2025-09-14,5.6,18.2,1
2025-09-15,0.0,21.0,0
2025-09-16,0.0,19.5,0
2025-09-17,0.0,17.1,0
2025-09-18,0.9,17.6,0
2025-09-19,0.9,17.7,0
2025-09-20,0.0,20.1,0
2025-09-21,0.0,20.6,0
2025-09-22,0.0,20.9,0
2025-09-23,1.3,18.2,0
2025-09-24,19.9,15.8,1
2025-09-25,0.0,15.7,0
2025-09-26,0.0,16.2,0
2025-09-27,0.0,18.9,0
2025-09-28,2.7,19.8,0
2025-09-29,23.3,15.6,1
2025-09-30,6.4,16.1,1
2025-10-01,0.0,18.4,0
2025-10-02,0.8,17.7,0
2025-10-03,2.4,14.9,0
2025-10-04,0.0,18.2,0
2025-10-05,7.8,18.7,1
2025-10-06,1.1,18.7,0
2025-10-07,0.0,18.0,0
2025-10-08,0.0,18.6,0
2025-10-09,1.5,19.4,0
2025-10-10,0.0,21.7,0
2025-10-11,0.0,21.5,0
2025-10-12,0.7,20.5,0
2025-10-13,0.0,20.6,0
2025-10-14,0.0,22.0,0
2025-10-15,0.0,19.7,0
2025-10-16,0.8,17.9,0
2025-10-17,0.0,17.5,0
2025-10-18,1.5,20.0,0
2025-10-19,10.9,17.5,1
2025-10-20,4.7,17.4,1
2025-10-21,0.0,18.3,0
2025-10-22,0.0,19.4,0
2025-10-23,0.0,23.4,0
2025-10-24,0.0,20.9,0
2025-10-25,0.2,20.9,0
2025-10-26,5.4,18.6,1
2025-10-27,2.0,17.3,0
2025-10-28,0.0,19.0,0
2025-10-29,0.2,20.6,0
2025-10-30,3.1,19.8,0
2025-10-31,0.0,22.4,0
2025-11-01,0.1,20.6,0
2025-11-02,1.9,18.7,0
2025-11-03,0.0,21.0,0
2025-11-04,0.0,22.5,0
2025-11-05,0.8,19.8,0
2025-11-06,5.0,19.1,1
2025-11-07,0.7,19.5,0
2025-11-08,0.0,20.8,0
2025-11-09,0.0,21.3,0
2025-11-10,1.1,21.4,0
2025-11-11,0.0,22.1,0
2025-11-12,0.0,21.5,0
2025-11-13,1.2,21.6,0
2025-11-14,0.1,20.0,0
2025-11-15,15.0,19.7,1
2025-11-16,21.3,17.0,1
